ident;lat;long;y_proj;x_proj
TIABAYA; ; ;-1.516416327;20763369.87
TIABAYA;-16.45996334;-71.59660184;-1947483.484;2830693.159
TIABAYA;-16.46045921;-71.59662374;-1947541.431;2830684.207
TIABAYA;-16.46070334;-71.59641303;-1947572.748;2830704.894
TIABAYA;-16.46070816;-71.59607535;-1947577.567;2830743.091
TIABAYA;-16.46052191;-71.59592765;-1947557.559;2830762.256
TIABAYA;-16.45976321;-71.59591248;-1947468.667;2830773.877
TIABAYA;-16.45973039;-71.59534764;-1947471.928;2830838.302
TIABAYA;-16.45923472;-71.59526033;-1947414.828;2830854.663
TIABAYA;-16.45923108;-71.59420172;-1947427.734;2830974.653
TIABAYA;-16.45880128;-71.5939543;-1947380.385;2831008.295
TIABAYA;-16.45735577;-71.59311153;-1947221.273;2831122.651
TIABAYA;-16.45723109;-71.59211774;-1947219.149;2831236.88
TIABAYA;-16.45728463;-71.59154779;-1947232.615;2831300.758
TIABAYA;-16.45752553;-71.59099949;-1947267.807;2831359.739
TIABAYA;-16.45835837;-71.58907124;-1947389.888;2831567.349
TIABAYA;-16.45825298;-71.58873751;-1947381.718;2831606.538
TIABAYA;-16.45796255;-71.58849409;-1947350.681;2831637.912
TIABAYA;-16.4577261;-71.58729292;-1947338.051;2831777.1
TIABAYA;-16.45792948;-71.5866881;-1947369.552;2831842.975
TIABAYA;-16.45790228;-71.58607005;-1947374.145;2831913.361
TIABAYA;-16.45788187;-71.58552223;-1947378.651;2831975.699
TIABAYA;-16.4578194;-71.5850915;-1947376.743;2832025.32
TIABAYA;-16.45788259;-71.58457261;-1947390.702;2832083.29
TIABAYA;-16.45802077;-71.58412371;-1947412.583;2832132.35
TIABAYA;-16.45752123;-71.58319648;-1947365.61;2832243.938
TIABAYA;-16.45739546;-71.58284474;-1947355.275;2832285.436
TIABAYA;-16.45711076;-71.58232567;-1947328.385;2832347.971
TIABAYA;-16.4564313;-71.58203194;-1947252.302;2832390.127
TIABAYA;-16.45601861;-71.58151574;-1947210.347;2832454.008
TIABAYA;-16.45507493;-71.58054241;-1947111.801;2832576.623
TIABAYA;-16.45463307;-71.58029719;-1947063.006;2832610.181
TIABAYA;-16.45376831;-71.57995556;-1946965.765;2832660.185
TIABAYA;-16.45346728;-71.57965324;-1946934.227;2832698.374
TIABAYA;-16.45309272;-71.57912584;-1946896.89;2832763.028
TIABAYA;-16.45291392;-71.57901274;-1946877.319;2832778.178
TIABAYA;-16.45260634;-71.57899497;-1946841.425;2832784.208
TIABAYA;-16.45208723;-71.57903733;-1946779.934;2832786.188
TIABAYA;-16.45155136;-71.57902794;-1946717.127;2832794.248
TIABAYA;-16.45125338;-71.57880583;-1946684.934;2832823.309
TIABAYA;-16.45101238;-71.5784235;-1946661.452;2832869.781
TIABAYA;-16.45073799;-71.57793473;-1946635.39;2832928.75
TIABAYA;-16.44998368;-71.57696448;-1946559.039;2833048.548
TIABAYA;-16.44937391;-71.57590454;-1946500.791;2833176.624
TIABAYA;-16.44872981;-71.57537432;-1946431.836;2833245.119
TIABAYA;-16.44741146;-71.5739249;-1946295.287;2833426.588
TIABAYA;-16.44660007;-71.57345823;-1946205.885;2833490.067
TIABAYA;-16.44616236;-71.57295603;-1946160.813;2833552.696
TIABAYA;-16.44565565;-71.5726071;-1946105.705;2833598.854
TIABAYA;-16.44499832;-71.57243048;-1946030.739;2833627.454
TIABAYA;-16.44428686;-71.57208955;-1945951.487;2833675.379
TIABAYA;-16.44336699;-71.57360868;-1945824.324;2833515.231
TIABAYA;-16.44466894;-71.57447041;-1945966.355;2833400.577
TIABAYA;-16.44475134;-71.57528626;-1945965.754;2833307.045
TIABAYA;-16.44475438;-71.57584682;-1945959.048;2833243.48
TIABAYA;-16.44420796;-71.57644476;-1945887.349;2833182.852
TIABAYA;-16.44438991;-71.57661804;-1945906.532;2833160.84
TIABAYA;-16.4444136;-71.57674149;-1945907.759;2833146.541
TIABAYA;-16.44434175;-71.57687783;-1945897.604;2833132.028
TIABAYA;-16.44416512;-71.57741443;-1945870.103;2833073.523
TIABAYA;-16.44384834;-71.57772349;-1945829.011;2833042.635
TIABAYA;-16.4435088;-71.57798355;-1945785.863;2833017.596
TIABAYA;-16.44339773;-71.57837326;-1945767.912;2832974.881
TIABAYA;-16.44350469;-71.57903721;-1945772.108;2832898.245
TIABAYA;-16.44378734;-71.58016622;-1945791.08;2832766.613
TIABAYA;-16.44377597;-71.5804597;-1945786.048;2832733.504
TIABAYA;-16.44394268;-71.58060722;-1945803.767;2832714.61
TIABAYA;-16.4438759;-71.5809185;-1945792.005;2832680.206
TIABAYA;-16.44361772;-71.58112254;-1945759.118;2832660.454
